date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,decade,k_factor,home_elo_before,away_elo_before
1990-03-24,Saint Kitts and Nevis,Antigua and Barbuda,3.0,1.0,Friendly,Basseterre,Saint Kitts and Nevis,False,1990,20,1500.0,1500.0
1990-03-24,Sint Maarten,Cayman Islands,1.0,1.0,CFU Caribbean Cup qualification,Marigot,Saint Martin,True,1990,30,1500.0,1500.0
1990-03-27,Northern Ireland,Norway,2.0,3.0,Friendly,Belfast,Northern Ireland,False,1990,20,1500.0,1517.1438935222513
1990-03-28,Egypt,Romania,1.0,3.0,Friendly,Cairo,Egypt,False,1990,20,1433.4603200151462,1504.5503848282365
1990-03-28,England,Brazil,1.0,0.0,Friendly,London,England,False,1990,20,1500.0,1500.0
1990-03-28,German DR,United States,3.0,2.0,Friendly,Berlin,German DR,False,1990,20,1495.0860384886757,1465.1204163862024
1990-03-28,Greece,Israel,2.0,1.0,Friendly,Athens,Greece,False,1990,20,1512.22601308247,1500.0
1990-03-28,Hungary,France,1.0,3.0,Friendly,Budapest,Hungary,False,1990,20,1511.2546369362906,1536.1179385068992
1990-03-28,Republic of Ireland,Wales,1.0,0.0,Friendly,Dublin,Republic of Ireland,False,1990,20,1500.0,1500.0
1990-03-28,Luxembourg,Iceland,1.0,2.0,Friendly,Esch-sur-Alzette,Luxembourg,False,1990,20,1500.0,1500.0
1990-03-28,Poland,Yugoslavia,0.0,0.0,Friendly,Łódź,Poland,False,1990,20,1527.1211551210488,1500.0
1990-03-28,Russia,Netherlands,2.0,1.0,Friendly,Kyiv,Soviet Union,False,1990,20,1530.8118009428615,1498.1506753883134
1990-03-28,Scotland,Argentina,1.0,0.0,Friendly,Glasgow,Scotland,False,1990,20,1500.0,1485.0
1990-03-28,Spain,Austria,2.0,3.0,Friendly,Málaga,Spain,False,1990,20,1508.1506753883134,1501.8328549010225
1990-03-31,Guernsey,Alderney,4.0,0.0,Muratti Vase,Guernsey,Guernsey,False,1990,30,1500.0,1500.0
1990-03-31,Switzerland,Italy,0.0,1.0,Friendly,Basel,Switzerland,False,1990,20,1500.0,1501.8493246116866
1990-04-01,Zambia,Tanzania,2.0,0.0,Friendly,Ndola,Zambia,False,1990,20,1527.8905040789284,1511.4954175693329
