captured_at,match_id,commence_time,home,away,bookmaker,team,odds
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,betsson,South Korea,2.62
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,betsson,Draw,3.2
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,gtbets,Czech Republic,2.77
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,gtbets,South Korea,2.65
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,gtbets,Draw,3.09
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,nordicbet,Czech Republic,2.9
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,nordicbet,South Korea,2.62
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,nordicbet,Draw,3.2
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,onexbet,Czech Republic,2.93
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,onexbet,South Korea,2.67
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,onexbet,Draw,3.16
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,betanysports,Czech Republic,2.85
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,betanysports,South Korea,2.65
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,betanysports,Draw,3.15
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,codere_it,Czech Republic,2.85
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,codere_it,South Korea,2.6
